datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,conditions
2020-01-01,23.0,19.9,21.1,23.0,19.9,21.1,17.4,79.9,0.198,4.17,rain,14.8,10.3,136.1,1023.8,83.9,5.7,54.1,4.6,0.19,"Rain, Partially cloudy"
2020-01-02,24.0,19.7,21.6,24.0,19.7,21.6,18.4,82.5,0.198,8.33,rain,21.6,15.7,92.7,1022.2,70.7,5.3,68.3,6.1,0.22,"Rain, Partially cloudy"
2020-01-03,25.5,20.3,22.6,25.5,20.3,22.6,18.5,78.0,0.8,33.33,rain,29.9,19.4,130.2,1020.2,73.2,8.9,94.3,8.1,0.25,"Rain, Partially cloudy"
2020-01-04,24.5,20.0,21.4,24.5,20.0,21.4,19.2,87.3,6.948,8.33,rain,30.2,21.4,102.8,1018.5,67.2,6.7,82.3,7.0,0.29,"Rain, Partially cloudy"
2020-01-05,24.5,19.0,21.3,24.5,19.0,21.3,19.2,88.1,2.969,8.33,rain,34.9,16.6,128.5,1017.4,69.9,6.0,112.1,9.7,0.32,"Rain, Partially cloudy"
2020-01-06,26.5,20.0,22.6,26.5,20.0,22.6,19.0,81.2,0.7,16.67,rain,40.3,23.2,125.5,1016.0,58.1,7.5,124.4,10.6,0.35,"Rain, Partially cloudy"
2020-01-07,25.9,20.0,22.2,25.9,20.0,22.2,19.9,87.4,2.869,8.33,rain,18.4,13.0,96.7,1016.2,70.3,5.6,71.8,6.2,0.38,"Rain, Partially cloudy"
2020-01-08,28.0,21.0,23.4,29.2,21.0,23.6,18.9,77.0,1.2,29.17,rain,32.4,25.0,127.2,1016.4,44.0,8.0,114.0,9.7,0.42,"Rain, Partially cloudy"
2020-01-09,28.0,21.0,23.6,28.9,21.0,23.8,19.0,76.3,0.001,4.17,rain,32.4,16.6,119.2,1014.7,68.1,8.3,137.5,11.8,0.45,"Rain, Partially cloudy"
2020-01-10,28.0,21.0,24.0,28.6,21.0,24.2,18.8,74.5,0.0,0.0,noprecip,33.8,19.4,136.6,1013.1,52.5,8.5,122.4,10.7,0.48,Partially cloudy
2020-01-11,26.7,16.5,21.4,26.7,16.5,21.4,17.6,79.7,1.6,37.5,rain,50.4,26.8,78.6,1014.1,73.0,7.8,118.2,10.2,0.5,"Rain, Partially cloudy"
2020-01-12,18.3,14.0,16.4,18.3,14.0,16.4,10.6,68.8,0.933,4.17,rain,21.2,19.4,23.0,1017.7,88.9,10.0,48.7,4.1,0.55,"Rain, Partially cloudy"
2020-01-13,18.1,15.0,16.6,18.1,15.0,16.6,14.3,86.7,0.297,4.17,rain,17.6,10.3,32.8,1015.7,81.5,5.0,52.5,4.5,0.59,"Rain, Partially cloudy"
2020-01-14,22.5,17.0,19.3,22.5,17.0,19.3,17.2,87.9,0.297,4.17,rain,25.9,11.1,330.0,1014.7,75.0,3.3,66.9,6.0,0.62,"Rain, Partially cloudy"
2020-01-15,26.0,20.0,22.7,26.0,20.0,22.7,19.0,80.2,0.4,16.67,rain,49.0,25.9,133.1,1012.9,62.3,8.4,98.3,8.6,0.66,"Rain, Partially cloudy"
2020-01-16,26.4,18.1,22.8,26.4,18.1,22.8,18.9,78.8,3.4,33.33,rain,38.9,22.3,103.4,1014.9,70.5,9.1,103.7,8.9,0.69,"Rain, Partially cloudy"
2020-01-17,18.8,14.0,16.2,18.8,14.0,16.2,12.3,77.7,0.002,4.17,rain,19.8,22.3,39.0,1019.1,86.6,8.9,34.0,3.0,0.75,"Rain, Partially cloudy"
2020-01-18,23.5,14.0,15.1,23.5,14.0,15.1,13.5,91.0,0.397,4.17,rain,16.2,13.0,42.8,1017.9,78.1,4.6,39.9,3.4,0.76,"Rain, Partially cloudy"
2020-01-19,16.0,13.5,14.9,16.0,13.5,14.9,11.3,79.7,0.303,8.33,rain,22.0,17.5,22.0,1020.4,81.6,9.2,38.0,3.1,0.8,"Rain, Partially cloudy"
2020-01-20,15.1,13.0,14.4,15.1,13.0,14.4,12.6,89.5,0.3,12.5,rain,13.7,10.3,34.3,1020.3,75.1,5.7,45.5,3.9,0.83,"Rain, Partially cloudy"
2020-01-21,21.9,15.0,17.9,21.9,15.0,17.9,16.0,88.5,0.099,4.17,rain,27.0,13.9,96.5,1018.9,76.5,3.1,76.2,6.4,0.87,"Rain, Partially cloudy"
2020-01-22,24.1,17.7,20.7,24.1,17.7,20.7,18.3,86.5,0.099,4.17,rain,32.0,13.9,190.6,1016.1,82.0,4.7,93.4,8.0,0.9,"Rain, Partially cloudy"
2020-01-23,27.0,21.0,23.4,28.2,21.0,23.5,20.0,81.7,0.5,20.83,rain,34.2,22.3,126.5,1014.0,75.5,7.9,92.8,7.9,0.94,"Rain, Partially cloudy"
2020-01-24,23.0,21.0,21.9,23.0,21.0,21.9,20.6,92.3,6.929,8.33,rain,38.5,20.4,105.4,1013.8,75.1,6.0,48.3,4.2,0.98,"Rain, Partially cloudy"
2020-01-25,21.6,13.5,17.7,21.6,13.5,17.7,15.3,85.9,58.643,16.67,rain,41.0,26.8,37.6,1014.1,72.2,8.6,36.4,3.1,0.0,"Rain, Partially cloudy"
2020-01-26,19.0,13.0,15.8,19.0,13.0,15.8,8.7,63.2,8.053,4.17,rain,30.2,23.2,18.3,1018.1,69.3,10.0,162.9,14.2,0.04,"Rain, Partially cloudy"
2020-01-27,16.5,13.0,14.8,16.5,13.0,14.8,7.1,60.2,0.0,0.0,noprecip,26.6,16.5,32.4,1016.9,68.5,10.0,138.8,12.1,0.07,Partially cloudy
2020-01-28,16.0,14.0,14.8,16.0,14.0,14.8,7.4,61.4,0.01,4.17,rain,24.5,17.0,23.7,1018.8,94.2,10.0,120.3,10.4,0.11,"Rain, Overcast"
2020-01-29,16.1,14.0,14.7,16.1,14.0,14.7,7.5,62.3,0.3,8.33,rain,25.2,14.8,358.9,1022.3,83.1,9.7,99.2,8.6,0.14,"Rain, Partially cloudy"
2020-01-30,20.4,10.5,15.4,20.4,10.5,15.4,7.3,63.2,0.0,0.0,noprecip,22.7,12.1,17.1,1021.9,16.5,9.1,193.8,16.7,0.17,Clear
2020-01-31,20.8,11.5,16.5,20.8,11.5,16.5,9.8,66.2,0.0,0.0,noprecip,23.8,13.0,115.5,1020.2,35.2,8.7,145.2,12.5,0.2,Partially cloudy
2020-02-01,16.9,14.9,16.0,16.9,14.9,16.0,13.1,82.7,0.099,4.17,rain,14.4,9.4,17.5,1018.9,82.5,6.3,43.5,3.6,0.24,"Rain, Partially cloudy"
2020-02-02,20.0,16.0,17.7,20.0,16.0,17.7,15.6,87.9,0.1,4.17,rain,20.9,7.6,22.1,1018.4,84.1,3.3,79.0,6.8,0.25,"Rain, Partially cloudy"
2020-02-03,20.3,15.0,17.6,20.3,15.0,17.6,16.4,92.9,0.793,8.33,rain,40.3,24.1,24.1,1017.2,78.9,4.9,47.2,4.1,0.3,"Rain, Partially cloudy"
2020-02-04,14.5,13.5,14.1,14.5,13.5,14.1,12.6,90.9,4.252,12.5,rain,21.6,17.5,18.8,1019.2,70.5,8.7,26.8,2.2,0.33,"Rain, Partially cloudy"
2020-02-05,15.0,14.0,14.3,15.0,14.0,14.3,13.2,93.1,1.592,8.33,rain,15.5,11.2,37.9,1018.2,77.7,7.4,32.8,2.9,0.37,"Rain, Partially cloudy"
