datetime,temp,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,moonphase,conditions,rolling_precip_3day,diurnal_temp_range,pressure_change_24h,day_of_year_sin,day_of_year_cos,winddir_sin,winddir_cos,temp_lag_1,temp_lag_2,temp_lag_3,feelslike_lag_1,feelslike_lag_2,feelslike_lag_3,dew_lag_1,dew_lag_2,dew_lag_3,humidity_lag_1,humidity_lag_2,humidity_lag_3,precip_lag_1,precip_lag_2,precip_lag_3,precipcover_lag_1,precipcover_lag_2,precipcover_lag_3,preciptype_lag_1,preciptype_lag_2,preciptype_lag_3,windgust_lag_1,windgust_lag_2,windgust_lag_3,windspeed_lag_1,windspeed_lag_2,windspeed_lag_3,sealevelpressure_lag_1,sealevelpressure_lag_2,sealevelpressure_lag_3,cloudcover_lag_1,cloudcover_lag_2,cloudcover_lag_3,visibility_lag_1,visibility_lag_2,visibility_lag_3,solarradiation_lag_1,solarradiation_lag_2,solarradiation_lag_3,moonphase_lag_1,moonphase_lag_2,moonphase_lag_3,conditions_lag_1,conditions_lag_2,conditions_lag_3,winddir_sin_lag_1,winddir_sin_lag_2,winddir_sin_lag_3,winddir_cos_lag_1,winddir_cos_lag_2,winddir_cos_lag_3
2020-01-04,21.4,21.4,19.2,87.3,6.948,8.33,rain,30.2,21.4,1018.5,67.2,6.7,82.3,0.29,Rain,1.1960000000000002,5.199999999999999,-2.0,0.06875540848113941,0.9976335468520451,0.9751493543055633,-0.22154849761946732,22.6,21.6,21.1,22.6,21.6,21.1,18.5,18.4,17.4,78.0,82.5,79.9,0.8,0.198,0.198,33.33,8.33,4.17,rain,rain,rain,29.9,21.6,14.8,19.4,15.7,10.3,1020.2,1022.2,1023.8,73.2,70.7,83.9,8.9,5.3,5.7,94.3,68.3,54.1,0.25,0.22,0.19,Rain,Rain,Rain,0.7637960286346424,0.99888987496197,0.6934018282758133,-0.6454576877239504,-0.047106450709642776,-0.7205511116803301
2020-01-05,21.3,21.3,19.2,88.1,2.969,8.33,rain,34.9,16.6,1017.4,69.9,6.0,112.1,0.32,Rain,7.946000000000001,4.5,-1.7000000000000455,0.08590610426133272,0.9963032375991965,0.782608156852414,-0.6225146366376194,21.4,22.6,21.6,21.4,22.6,21.6,19.2,18.5,18.4,87.3,78.0,82.5,6.948,0.8,0.198,8.33,33.33,8.33,rain,rain,rain,30.2,29.9,21.6,21.4,19.4,15.7,1018.5,1020.2,1022.2,67.2,73.2,70.7,6.7,8.9,5.3,82.3,94.3,68.3,0.29,0.25,0.22,Rain,Rain,Rain,0.9751493543055633,0.7637960286346424,0.99888987496197,-0.22154849761946732,-0.6454576877239504,-0.047106450709642776
2020-01-06,22.6,22.6,19.0,81.2,0.7,16.67,rain,40.3,23.2,1016.0,58.1,7.5,124.4,0.35,Rain,10.717,5.5,-1.1000000000000227,0.10303137904317879,0.9946781061893646,0.8141155183563192,-0.5807029557109398,21.3,21.4,22.6,21.3,21.4,22.6,19.2,19.2,18.5,88.1,87.3,78.0,2.969,6.948,0.8,8.33,8.33,33.33,rain,rain,rain,34.9,30.2,29.9,16.6,21.4,19.4,1017.4,1018.5,1020.2,69.9,67.2,73.2,6.0,6.7,8.9,112.1,82.3,94.3,0.32,0.29,0.25,Rain,Rain,Rain,0.782608156852414,0.9751493543055633,0.7637960286346424,-0.6225146366376194,-0.22154849761946732,-0.6454576877239504
2020-01-07,22.2,22.2,19.9,87.4,2.869,8.33,rain,18.4,13.0,1016.2,70.3,5.6,71.8,0.38,Rain,10.617,6.5,-1.3999999999999773,0.1201261651823505,0.9927586335250793,0.9931706495384861,-0.11667073709933316,22.6,21.3,21.4,22.6,21.3,21.4,19.0,19.2,19.2,81.2,88.1,87.3,0.7,2.969,6.948,16.67,8.33,8.33,rain,rain,rain,40.3,34.9,30.2,23.2,16.6,21.4,1016.0,1017.4,1018.5,58.1,69.9,67.2,7.5,6.0,6.7,124.4,112.1,82.3,0.35,0.32,0.29,Rain,Rain,Rain,0.8141155183563192,0.782608156852414,0.9751493543055633,-0.5807029557109398,-0.6225146366376194,-0.22154849761946732
2020-01-08,23.4,23.6,18.9,77.0,1.2,29.17,rain,32.4,25.0,1016.4,44.0,8.0,114.0,0.42,Rain,6.538,5.899999999999999,0.20000000000004547,0.13718540405660057,0.9905453876091833,0.7965299180241964,-0.6045991148623748,22.2,22.6,21.3,22.2,22.6,21.3,19.9,19.0,19.2,87.4,81.2,88.1,2.869,0.7,2.969,8.33,16.67,8.33,rain,rain,rain,18.4,40.3,34.9,13.0,23.2,16.6,1016.2,1016.0,1017.4,70.3,58.1,69.9,5.6,7.5,6.0,71.8,124.4,112.1,0.38,0.35,0.32,Rain,Rain,Rain,0.9931706495384861,0.8141155183563192,0.782608156852414,-0.11667073709933316,-0.5807029557109398,-0.6225146366376194
2020-01-09,23.6,23.8,19.0,76.3,0.001,4.17,rain,32.4,16.6,1014.7,68.1,8.3,137.5,0.45,Rain,4.769,7.0,0.1999999999999318,0.1542040475626894,0.988039023376751,0.8729220772698095,-0.48785965913873286,23.4,22.2,22.6,23.6,22.2,22.6,18.9,19.9,19.0,77.0,87.4,81.2,1.2,2.869,0.7,29.17,8.33,16.67,rain,rain,rain,32.4,18.4,40.3,25.0,13.0,23.2,1016.4,1016.2,1016.0,44.0,70.3,58.1,8.0,5.6,7.5,114.0,71.8,124.4,0.42,0.38,0.35,Rain,Rain,Rain,0.7965299180241964,0.9931706495384861,0.8141155183563192,-0.6045991148623748,-0.11667073709933316,-0.5807029557109398
2020-01-10,24.0,24.2,18.8,74.5,0.0,0.0,noprecip,33.8,19.4,1013.1,52.5,8.5,122.4,0.48,Cloudy,4.07,7.0,-1.6999999999999318,0.17117705961019986,0.985240282501282,0.6870875108044233,-0.7265746709709756,23.6,23.4,22.2,23.8,23.6,22.2,19.0,18.9,19.9,76.3,77.0,87.4,0.001,1.2,2.869,4.17,29.17,8.33,rain,rain,rain,32.4,32.4,18.4,16.6,25.0,13.0,1014.7,1016.4,1016.2,68.1,44.0,70.3,8.3,8.0,5.6,137.5,114.0,71.8,0.45,0.42,0.38,Rain,Rain,Rain,0.8729220772698095,0.7965299180241964,0.9931706495384861,-0.48785965913873286,-0.6045991148623748,-0.11667073709933316
2020-01-11,21.4,21.4,17.6,79.7,1.6,37.5,rain,50.4,26.8,1014.1,73.0,7.8,118.2,0.5,Rain,1.2010000000000003,7.0,-1.6000000000000227,0.18809941761179758,0.9821499931752291,0.9802711746217219,0.19765734037912627,24.0,23.6,23.4,24.2,23.8,23.6,18.8,19.0,18.9,74.5,76.3,77.0,0.0,0.001,1.2,0.0,4.17,29.17,noprecip,rain,rain,33.8,32.4,32.4,19.4,16.6,25.0,1013.1,1014.7,1016.4,52.5,68.1,44.0,8.5,8.3,8.0,122.4,137.5,114.0,0.48,0.45,0.42,Cloudy,Rain,Rain,0.6870875108044233,0.8729220772698095,0.7965299180241964,-0.7265746709709756,-0.48785965913873286,-0.6045991148623748
2020-01-12,16.4,16.4,10.6,68.8,0.933,4.17,rain,21.2,19.4,1017.7,88.9,10.0,48.7,0.55,Rain,1.6010000000000004,10.2,1.0,0.20496611396949532,0.9787690698649216,0.3907311284892737,0.9205048534524404,21.4,24.0,23.6,21.4,24.2,23.8,17.6,18.8,19.0,79.7,74.5,76.3,1.6,0.0,0.001,37.5,0.0,4.17,rain,noprecip,rain,50.4,33.8,32.4,26.8,19.4,16.6,1014.1,1013.1,1014.7,73.0,52.5,68.1,7.8,8.5,8.3,118.2,122.4,137.5,0.5,0.48,0.45,Rain,Cloudy,Rain,0.9802711746217219,0.6870875108044233,0.8729220772698095,0.19765734037912627,-0.7265746709709756,-0.48785965913873286
2020-01-13,16.6,16.6,14.3,86.7,0.297,4.17,rain,17.6,10.3,1015.7,81.5,5.0,52.5,0.59,Rain,2.5330000000000004,4.300000000000001,3.6000000000000227,0.22177215755648186,0.975098513039961,0.5417082102827397,0.8405666034956844,16.4,21.4,24.0,16.4,21.4,24.2,10.6,17.6,18.8,68.8,79.7,74.5,0.933,1.6,0.0,4.17,37.5,0.0,rain,rain,noprecip,21.2,50.4,33.8,19.4,26.8,19.4,1017.7,1014.1,1013.1,88.9,73.0,52.5,10.0,7.8,8.5,48.7,118.2,122.4,0.55,0.5,0.48,Rain,Rain,Cloudy,0.3907311284892737,0.9802711746217219,0.6870875108044233,0.9205048534524404,0.19765734037912627,-0.7265746709709756
