Feature,Importance
precip_lag,0.013032581453634052
solarradiation_lag,0.012280701754385925
solarenergy_lag,0.008521303258145329
humidity_lag,0.00751879699248118
humidity_momentum,0.0070175438596491
cloudcover_lag,0.007017543859649089
windspeed_lag_12AM,0.006516290726817009
conditions_lag_Rain,0.006516290726817009
cloud_cover_trend_2h,0.005764411027568905
diurnal_temp_range,0.0057644110275688835
conditions_lag_12AM_Cloudy,0.004511278195488711
temp_lag_12AM,0.004260651629072654
feelslike_lag,0.004010025062656608
winddir_cos_lag,0.0037593984962405735
winddir_sin_lag,0.0027568922305764355
feelslikemin_lag,0.002255639097744322
conditions_lag_Cloudy,0.0022556390977443107
day_of_year_sin,0.0020050125313283095
winddir_diff_2h,0.001754385964912264
rolling_precip_3day,0.0017543859649122528
feelslike_lag_12AM,0.0012531328320801727
tempmax_lag,0.0010025062656641493
feelslikemax_lag,0.001002506265664138
precipcover_lag,0.0007518796992481036
temp_lag,0.0007518796992480925
winddir_sin_lag_12AM,0.000501253132832069
tempmin_lag,0.000501253132832058
winddir_cos_lag_12AM,0.000501253132832058
visibility_lag_12AM,0.0005012531328320469
windgust_lag,0.00025062656641601234
precip_lag_12AM,0.0
windgust_lag_12AM,0.0
snow_lag_12AM,0.0
preciptype_lag_12AM_rain,0.0
conditions_lag_12AM_Rain,0.0
pressure_trend_overnight,0.0
visibility_lag,-0.00025062656641607897
winddir_diff_day,-0.0005012531328321024
windspeed_lag,-0.0005012531328321024
cloudcover_lag_12AM,-0.0005012531328321024
sealevelpressure_lag,-0.000751879699248148
preciptype_lag_rain,-0.0010025062656641825
day_of_year_cos,-0.002005012531328343
dew_lag_12AM,-0.002756892230576469
pressure_lag_12AM,-0.002756892230576469
humidity_lag_12AM,-0.0037593984962406178
dewpoint_depression,-0.004761904761904778
dew_lag,-0.004761904761904789
