datetime,target_temp,target_conditions,temp_lag_12AM,feelslike_lag_12AM,humidity_lag_12AM,dew_lag_12AM,precip_lag_12AM,snow_lag_12AM,preciptype_lag_12AM,windgust_lag_12AM,windspeed_lag_12AM,pressure_lag_12AM,visibility_lag_12AM,cloudcover_lag_12AM,conditions_lag_12AM,winddir_sin_lag_12AM,winddir_cos_lag_12AM,tempmax_lag,tempmin_lag,temp_lag,feelslikemax_lag,feelslikemin_lag,feelslike_lag,dew_lag,humidity_lag,precip_lag,precipcover_lag,preciptype_lag,windgust_lag,windspeed_lag,sealevelpressure_lag,cloudcover_lag,visibility_lag,solarradiation_lag,solarenergy_lag,conditions_lag,winddir_sin_lag,winddir_cos_lag,rolling_precip_3day,day_of_year_sin,day_of_year_cos,winddir_diff_2h,winddir_diff_day,cloud_cover_trend_2h,diurnal_temp_range,dewpoint_depression,humidity_momentum,pressure_trend_overnight
2020-01-08,23.4,Rain,22.0,22.0,83.1,19.0,0.0,0.0,noprecip,0.0,9.4,1017.0,8.5,89.0,Cloudy,0.49999999999999994,-0.8660254037844387,25.9,20.0,22.2,25.9,20.0,22.2,19.9,87.4,2.869,8.33,rain,18.4,13.0,1016.2,70.3,5.6,71.8,6.2,Rain,0.9931706495384861,-0.11667073709933316,6.538,0.13718540405660057,0.9905453876091833,57.0,53.30000000000001,3.0999999999999943,5.899999999999999,3.0,-5.900000000000006,0.10000000000002274
2020-01-09,23.6,Rain,22.0,22.0,78.1,18.0,0.0,0.0,noprecip,0.0,13.0,1016.0,8.5,69.9,Cloudy,0.7071067811865476,-0.7071067811865475,28.0,21.0,23.4,29.2,21.0,23.6,18.9,77.0,1.2,29.17,rain,32.4,25.0,1016.4,44.0,8.0,114.0,9.7,Rain,0.7965299180241964,-0.6045991148623748,4.769,0.1542040475626894,0.988039023376751,39.0,7.800000000000011,39.900000000000006,7.0,4.0,-9.200000000000003,-1.2000000000000455
2020-01-10,24.0,Cloudy,22.0,22.0,88.4,20.0,0.0,0.0,noprecip,0.0,14.8,1014.0,8.5,69.9,Cloudy,0.6427876096865395,-0.7660444431189779,28.0,21.0,23.6,28.9,21.0,23.8,19.0,76.3,0.001,4.17,rain,32.4,16.6,1014.7,68.1,8.3,137.5,11.8,Rain,0.8729220772698095,-0.48785965913873286,4.07,0.17117705961019986,0.985240282501282,43.0,20.80000000000001,-19.89999999999999,7.0,2.0,2.6000000000000085,0.5
2020-01-11,21.4,Rain,21.0,21.0,88.4,19.0,0.0,0.0,noprecip,0.0,9.3,1013.0,5.0,37.4,Cloudy,1.0,6.123233995736766e-17,28.0,21.0,24.0,28.6,21.0,24.2,18.8,74.5,0.0,0.0,noprecip,33.8,19.4,1013.1,52.5,8.5,122.4,10.7,Cloudy,0.6870875108044233,-0.7265746709709756,1.2010000000000003,0.18809941761179758,0.9821499931752291,7.0,46.599999999999994,37.199999999999996,7.0,2.0,4.0,-0.2999999999999545
2020-01-12,16.4,Rain,16.5,16.5,78.76,12.8,0.0,0.0,noprecip,18.4,8.6,1019.0,0.0,100.0,Cloudy,-0.027921638723569165,0.9996101150403544,26.7,16.5,21.4,26.7,16.5,21.4,17.6,79.7,1.6,37.5,rain,50.4,26.8,1014.1,73.0,7.8,118.2,10.2,Rain,0.9802711746217219,0.19765734037912627,1.6010000000000004,0.20496611396949532,0.9787690698649216,11.600000000000023,80.20000000000005,2.200000000000003,10.2,3.6999999999999993,-0.6400000000000006,1.7000000000000455
2020-01-13,16.6,Rain,17.0,17.0,72.4,12.0,0.0,0.0,noprecip,0.0,3.6,1017.0,8.5,100.0,Cloudy,0.766044443118978,0.6427876096865394,18.3,14.0,16.4,18.3,14.0,16.4,10.6,68.8,0.933,4.17,rain,21.2,19.4,1017.7,88.9,10.0,48.7,4.1,Rain,0.3907311284892737,0.9205048534524404,2.5330000000000004,0.22177215755648186,0.975098513039961,22.0,27.0,0.0,4.300000000000001,5.0,-0.6999999999999886,-0.39999999999997726
2020-01-14,19.3,Rain,17.5,17.5,90.9,16.0,0.0,0.0,noprecip,0.0,6.5,1015.0,4.5,89.0,Cloudy,0.9961946980917455,0.08715574274765814,18.1,15.0,16.6,18.1,15.0,16.6,14.3,86.7,0.297,4.17,rain,17.6,10.3,1015.7,81.5,5.0,52.5,4.5,Rain,0.5417082102827397,0.8405666034956844,2.8300000000000005,0.23851257519407648,0.9711394088771653,95.0,52.19999999999999,-8.799999999999997,3.1000000000000014,1.5,-5.3999999999999915,-0.6000000000000227
2020-01-15,22.7,Rain,20.0,20.0,94.0,19.0,0.0,0.0,noprecip,0.0,8.5,1014.0,3.0,89.0,Cloudy,0.9961946980917455,-0.08715574274765824,22.5,17.0,19.3,22.5,17.0,19.3,17.2,87.9,0.297,4.17,rain,25.9,11.1,1014.7,75.0,3.3,66.9,6.0,Rain,-0.5000000000000004,0.8660254037844384,1.5270000000000006,0.2551824131233728,0.9668929289391521,5.0,125.0,3.0999999999999943,5.5,1.0,-0.7999999999999972,-0.5
2020-01-16,22.8,Rain,22.0,22.0,83.1,19.0,0.0,0.0,noprecip,0.0,20.5,1013.0,10.0,62.2,Cloudy,0.8660254037844387,-0.4999999999999998,26.0,20.0,22.7,26.0,20.0,22.7,19.0,80.2,0.4,16.67,rain,49.0,25.9,1012.9,62.3,8.4,98.3,8.6,Rain,0.7301622766207525,-0.683273773680799,0.9940000000000004,0.2717767384711357,0.9623603298276545,7.0,13.099999999999994,-16.799999999999997,6.0,3.0,0.3999999999999915,-0.39999999999997726
2020-01-17,16.2,Rain,18.0,18.0,72.6,13.0,0.0,0.0,noprecip,0.0,21.2,1018.0,10.0,89.0,Cloudy,0.8191520442889918,0.5735764363510462,26.4,18.1,22.8,26.4,18.1,22.8,18.9,78.8,3.4,33.33,rain,38.9,22.3,1014.9,70.5,9.1,103.7,8.9,Rain,0.9727758782093965,-0.23174790349415758,4.097,0.2882906407095177,0.9575429528116719,28.0,48.400000000000006,-8.799999999999997,8.299999999999997,5.0,-8.200000000000003,0.5
