feature,importance_mean,importance_std
humidity_lag_1,0.11333027858468925,0.020461220594644978
precip_lag_1,0.0957169420796565,0.017183671987109028
cloudcover_lag_1,0.07252817971163876,0.021920672328605922
winddir_sin_lag_2,0.04180442284526391,0.01164432061321396
dew_lag_3,0.032629474168088826,0.010313624603333675
winddir_sin_lag_1,0.03005820099708135,0.012994823056681197
sealevelpressure_lag_2,0.027368568326946653,0.0068887992334032404
dew_lag_1,0.02679736333863092,0.012847462099929461
sealevelpressure_lag_3,0.02460222851737337,0.008712682695478393
dew_lag_2,0.024150792503236228,0.007215142296615124
cloudcover_lag_3,0.023624744285078648,0.006146506507128776
humidity_lag_2,0.023240210753004375,0.00647765219372263
solarenergy_lag_1,0.02159079529131567,0.009580462245151806
winddir_sin_lag_3,0.0213939143836951,0.009428541947096232
winddir_cos_lag_3,0.021139077723203725,0.014906065877984064
solarenergy_lag_3,0.020007057681847164,0.008552306754354453
precipcover_lag_1,0.019467086513645315,0.008792796184136524
winddir_cos_lag_2,0.019150368039283782,0.010256921778844793
windspeed_lag_3,0.01901639650858017,0.012239717414884974
winddir_cos_lag_1,0.018730056022263873,0.009238978681843354
windgust_lag_1,0.01733107474262059,0.009728133496893719
conditions_lag_1,0.01617945867372499,0.008667934447170919
windspeed_lag_1,0.016008985522116027,0.009411528727416973
sealevelpressure_lag_1,0.01570584441280707,0.009770008506794315
feelslikemin_lag_3,0.015118829492861963,0.004624629658895186
windgust_lag_3,0.015117773319287032,0.006313583181584385
feelslikemin_lag_2,0.012475597620762214,0.009359042793730656
windspeed_lag_2,0.011913405005805589,0.006364314314270218
moonphase,0.011165863142212152,0.006870093923839136
windgust_lag_2,0.009563376276216895,0.008142108942097088
moonphase_lag_1,0.009469186176778588,0.0064081616633963594
visibility_lag_2,0.008533965451748716,0.008738215796976926
cloudcover_lag_2,0.006247395828055646,0.007065368051414537
humidity_lag_3,0.005135667383393006,0.004486919910415942
visibility_lag_1,0.004940138397295024,0.01990905724825159
solarenergy_lag_2,0.004752913545524562,0.006621205463069357
moonphase_lag_3,0.004532316757079613,0.005816357043460224
day_of_year_sin,0.004373476207347915,0.008018978065571556
visibility_lag_3,0.0037408128650424422,0.010871635568908538
precipcover_lag_3,0.0034376707740582323,0.005251128845486428
moonphase_lag_2,0.0025412336850266113,0.00589821599925688
feelslikemin_lag_1,0.002508799926647165,0.004302269369387332
preciptype_lag_1,0.0024971699074718854,0.0012485849537359427
day_of_year_cos,0.001041655531989083,0.006596386276382914
precip_lag_3,0.0004917587204203322,0.002875401949090709
preciptype_lag_2,0.0,0.0
preciptype_lag_3,0.0,0.0
conditions_lag_2,0.0,0.0
conditions_lag_3,0.0,0.0
precip_lag_2,-0.0012041136180768075,0.0019331114692417652
precipcover_lag_2,-0.0015482009411625919,0.0015482009411625919
